SITE_ID,STREET,DATE_PARSED,BICYCLE_DETECTIONS
9077,Albert Street,2020-07-07,468
9077,Albert Street,2020-07-08,538
9077,Albert Street,2020-07-09,403
9077,Albert Street,2020-07-10,462
9077,Albert Street,2020-07-11,174
9077,Albert Street,2020-07-12,258
9077,Albert Street,2020-07-13,428
9077,Albert Street,2020-07-14,530
9077,Albert Street,2020-07-15,523
9077,Albert Street,2020-07-16,512
9077,Albert Street,2020-07-17,508
9077,Albert Street,2020-07-18,292
9077,Albert Street,2020-07-19,232
9077,Albert Street,2020-07-20,419
9077,Albert Street,2020-07-21,495
9077,Albert Street,2020-07-22,465
9077,Albert Street,2020-07-23,433
9077,Albert Street,2020-07-24,499
9077,Albert Street,2020-07-25,306
9077,Albert Street,2020-07-26,260
9077,Albert Street,2020-07-27,431
9077,Albert Street,2020-07-28,475
9077,Albert Street,2020-07-29,516
9077,Albert Street,2020-07-30,529
9077,Albert Street,2020-07-31,508
9077,Albert Street,2020-08-01,356
9077,Albert Street,2020-08-02,335
9077,Albert Street,2020-08-03,449
9077,Albert Street,2020-08-04,291
9077,Albert Street,2020-08-05,312
9077,Albert Street,2020-08-06,281
9077,Albert Street,2020-08-07,291
9077,Albert Street,2020-08-08,205
9077,Albert Street,2020-08-09,255
9077,Albert Street,2020-08-10,357
9077,Albert Street,2020-08-11,334
9077,Albert Street,2020-08-12,313
9077,Albert Street,2020-08-13,328
9077,Albert Street,2020-08-14,320
9077,Albert Street,2020-08-15,317
9077,Albert Street,2020-08-16,257
9077,Albert Street,2020-08-17,319
9077,Albert Street,2020-08-18,370
9077,Albert Street,2020-08-19,230
9077,Albert Street,2020-08-20,310
9077,Albert Street,2020-08-21,335
9077,Albert Street,2020-08-22,104
9077,Albert Street,2020-08-23,149
9077,Albert Street,2020-08-24,294
9077,Albert Street,2020-08-25,338
9077,Albert Street,2020-08-26,360
9077,Albert Street,2020-08-27,340
9077,Albert Street,2020-08-28,383
9077,Albert Street,2020-08-29,380
9077,Albert Street,2020-08-30,195
9077,Albert Street,2020-08-31,314
9077,Albert Street,2020-09-01,382
9077,Albert Street,2020-09-02,309
9077,Albert Street,2020-09-03,329
9077,Albert Street,2020-09-04,418
9077,Albert Street,2020-09-05,306
9077,Albert Street,2020-09-06,366
9077,Albert Street,2020-09-07,365
9077,Albert Street,2020-09-08,303
9077,Albert Street,2020-09-09,408
9077,Albert Street,2020-09-10,406
9077,Albert Street,2020-09-11,412
9077,Albert Street,2020-09-12,145
9077,Albert Street,2020-09-13,361
9077,Albert Street,2020-09-14,380
9077,Albert Street,2020-09-15,412
9077,Albert Street,2020-09-16,418
9077,Albert Street,2020-09-17,303
9077,Albert Street,2020-09-18,400
9077,Albert Street,2020-09-19,484
9077,Albert Street,2020-09-20,409
9077,Albert Street,2020-09-21,352
9077,Albert Street,2020-09-22,357
9077,Albert Street,2020-09-23,297
9077,Albert Street,2020-09-24,392
9077,Albert Street,2020-09-25,248
9077,Albert Street,2020-09-26,249
9077,Albert Street,2020-09-27,404
9077,Albert Street,2020-09-28,386
9077,Albert Street,2020-09-29,471
9077,Albert Street,2020-09-30,336
9077,Albert Street,2020-10-01,464
9077,Albert Street,2020-10-02,509
9077,Albert Street,2020-10-03,477
9077,Albert Street,2020-10-04,377
9077,Albert Street,2020-10-05,210
9077,Albert Street,2020-10-06,324
9077,Albert Street,2020-10-07,316
9077,Albert Street,2020-10-08,284
9077,Albert Street,2020-10-09,392
9077,Albert Street,2020-10-10,481
9077,Albert Street,2020-10-11,397
9077,Albert Street,2020-10-12,510
9077,Albert Street,2020-10-13,441
9077,Albert Street,2020-10-14,545
9077,Albert Street,2020-10-15,368
9077,Albert Street,2020-10-16,476
9077,Albert Street,2020-10-17,296
9077,Albert Street,2020-10-18,358
9077,Albert Street,2020-10-19,461
9077,Albert Street,2020-10-20,660
9077,Albert Street,2020-10-21,611
9077,Albert Street,2020-10-22,639
9077,Albert Street,2020-10-23,415
9077,Albert Street,2020-10-24,174
9077,Albert Street,2020-10-25,343
9077,Albert Street,2020-10-26,518
9077,Albert Street,2020-10-27,593
9077,Albert Street,2020-10-28,588
9077,Albert Street,2020-10-29,636
9077,Albert Street,2020-10-30,641
9077,Albert Street,2020-10-31,440
9077,Albert Street,2020-11-01,528
9077,Albert Street,2020-11-02,620
9077,Albert Street,2020-11-03,571
9077,Albert Street,2020-11-04,447
9077,Albert Street,2020-11-05,560
9077,Albert Street,2020-11-06,615
9077,Albert Street,2020-11-07,436
9077,Albert Street,2020-11-08,530
9077,Albert Street,2020-11-09,601
9077,Albert Street,2020-11-10,680
9077,Albert Street,2020-11-11,549
9077,Albert Street,2020-11-12,671
9077,Albert Street,2020-11-13,615
9077,Albert Street,2020-11-14,523
9077,Albert Street,2020-11-15,286
