LOC_LEG,SITE_XN_ROUTE,GPS_LAT,GPS_LONG,SURFACE_TYPE,TFM_DESC,BEARING_DESC,REGION,STATUS,PURPOSE
59452,6592,-37.810344,144.937641,BIKE PATH,CAPITAL CITY TRAIL NW BD FOOTSCRAY RD SE OF EXIT RAMP FROM CITY LINK,NORTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59453,6592,-37.810344,144.937641,BIKE PATH,CAPITAL CITY TRAIL SE BD FOOTSCRAY RD SE OF EXIT RAMP FROM CITY LINK,SOUTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59454,6596,-37.870953,144.975962,BIKE PATH,BAY TRAIL N BD 100M N BLESSINGTON ST OPP NO 20 MARINE PDE,NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
59455,6596,-37.870953,144.975962,BIKE PATH,BAY TRAIL S BD 100M N BLESSINGTON ST OPP NO 20 MARINE PDE,SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
59464,6600,-37.891051,145.123081,BIKE PATH,"SCOTCHMANS CREEK TRAIL E BD, 52M E OF 61 SMYTH ST",EAST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
59465,6600,-37.891051,145.123081,BIKE PATH,"SCOTCHMANS CREEK TRAIL W BD, 52M E OF 61 SMYTH ST",WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
59445,7584,-37.791826,145.105324,BIKE PATH,KOONUNG TRAIL NW BD 44M NE OF CLIFTON ST,NORTH WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
59468,7584,-37.791826,145.105324,BIKE PATH,KOONUNG TRAIL SE BD 44M NE OF CLIFTON ST,SOUTH EAST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
59450,7588,-37.779953,144.962511,BIKE PATH,CAPITAL CITY TRAIL E BD 25M W OF BOWEN CRES,EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59451,7588,-37.779953,144.962511,BIKE PATH,CAPITAL CITY TRAIL W BD 25M W OF BOWEN CRES,WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59483,7592,-37.793676,145.033458,BIKE PATH,ANN TRAIL NO:2 NW BD 300M EAST OF PRINCESS ST,NORTH WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
59484,7592,-37.793676,145.033458,BIKE PATH,ANN TRAIL NO:2 SE BD 300M EAST OF PRINCESS ST,SOUTH EAST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
59489,7596,-37.80642,144.905099,BIKE PATH,MORELAND ST PATH NE BD 50 M N OF PARKER ST,NORTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59490,7596,-37.80642,144.905099,BIKE PATH,MORELAND ST PATH SW BD 50 M N OF PARKER ST,SOUTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59471,7600,-37.799708,144.980594,BIKE PATH,NAPIER ST PATH N BD 50M N OF GREEVES ST,NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59472,7600,-37.799708,144.980594,BIKE PATH,NAPIER ST PATH S BD 50M N OF GREEVES ST,SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59466,7604,-37.787934,145.027142,BIKE PATH,MAIN YARRA TRAIL NW BD NEAR THE CHANDLER HWY BRIDGE,NORTH WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
59467,7604,-37.787934,145.027142,BIKE PATH,MAIN YARRA TRAIL SE BD NEAR THE CHANDLER HWY BRIDGE,SOUTH EAST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
59487,8172,-37.834025,145.023728,BIKE PATH,MAIN YARRA TRAIL NO:1 NW BD ALONG YARRA BVD 66M W OF OF CITYLINK OPASS,NORTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Mix
59488,8172,-37.834025,145.023728,BIKE PATH,MAIN YARRA TRAIL NO:1 SE BD ALONG YARRA BVD 66M W OF OF CITYLINK OPASS,SOUTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Mix
59446,8176,-37.830086,144.98773,BIKE PATH,SOUTH BANK E BD UNDER PUNT RD BRIDGE,EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59447,8176,-37.830086,144.98773,BIKE PATH,SOUTH BANK W BD UNDER PUNT RD BRIDGE,WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Commuter
59448,8180,-37.778002,144.958163,BIKE PATH,UPFIELD RAILWAY LIN N BD 10M S OF PARK ST,NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59449,8180,-37.778002,144.958163,BIKE PATH,UPFIELD RAILWAY LIN S BD 10M S OF PARK ST,SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59469,8184,-37.834055,145.023716,BIKE PATH,GARDINERS CREEK TRAIL NW BD 66M W OF CITYLINK OVERPASS,NORTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59470,8184,-37.834055,145.023716,BIKE PATH,GARDINERS CREEK TRAIL SE BD 66M W OF CITYLINK OVERPASS,SOUTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59462,8188,-37.743129,144.998086,BIKE PATH,"ST. GEORGES RD NO.2 N BD, N OF BELL ST",NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59463,8188,-37.743129,144.998086,BIKE PATH,"ST. GEORGES RD NO.2 S BD, N OF BELL ST",SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59456,8192,-37.862631,145.061937,BIKE PATH,GARDINERS CREEK TRAIL NO.2 N BD ADJ ESTELLA ST,NORTH BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Mix
59457,8192,-37.862631,145.061937,BIKE PATH,GARDINERS CREEK TRAIL NO.2 S BD ADJ ESTELLA ST,SOUTH BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Mix
59473,8196,-38.507681,145.290855,BIKE PATH,PHILLIP ISLAND RD PATH NW BD BTW BUNVEGAN CR & GLEN ST,NORTH WEST BOUND,EASTERN,COMBINED BIDIRECTIONAL SITE,Regional
59474,8196,-38.507681,145.290855,BIKE PATH,PHILLIP ISLAND RD PATH SE BD BTW BUNVEGAN CR & GLEN ST,SOUTH EAST BOUND,EASTERN,COMBINED BIDIRECTIONAL SITE,Regional
23042,9077,-37.809617,144.97731,BIKE LANE,ALBERT ST EB 50M E OF MORRISON PL,EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
40292,9077,-37.80981,144.97733,BIKE LANE,ALBERT ST WB 50M W OF LANSDOWN ST,WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59477,9079,-37.779058,145.036986,BIKE PATH,DAREBIN CREEK PATH E BD NEAR HEIDELBERG ROAD NEAR WILLOW BANK GROVE,EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
